featureid	BS	Trt1	Trt2	Trt3	Trt4	Trt5
Methanomethylophilaceae_uncl|d2f4c2e460ea27e6b4b45e72bd385f51	FL	0.011574521383291243	0.01599773907357334	0.017334327505111564	0.020538801363027076	0.017998031943399412
Methanomethylophilaceae_uncl|9af52a9758c50a5a0cdfc9eb06d55d6f	FL	0.04807514410106221	0.0721382282296473	0.10292310972137758	0.10092333430566557	0.1108852955893816
Methanimicrococcus_unid_methanogen|48e85a9a857b4a2519ae19161151bd77	FL	0.0	0.00040393265206801674	0.0013018843627152232	0.011820829151188499	0.021571908347206348
Methanomethylophilaceae|898c387af1af6f5578d717b5d09aa6e2	E	0.029914540302496594	0.0430741441885747	0.041845505843019076	0.03147875959412516	0.047166039368821515
Methanomethylophilaceae_uncl|9af52a9758c50a5a0cdfc9eb06d55d6f	E	0.061083732309529695	0.08626372429534188	0.11011007250172639	0.10110637011432314	0.11241197439230174
Methanomicrobium|37c03b396436fff90b9707c1892c3990	E	0.29114434417442325	0.35072810063534476	0.42243535059253784	0.45078398917286744	0.46170756972800114
Methanomethylophilaceae_uncl|d2f4c2e460ea27e6b4b45e72bd385f51	E	0.017596314241211632	0.019199188122168427	0.021272316019298652	0.02604016065872377	0.021559403400049082
Methanomethylophilaceae_uncl|8b4b094482e24d7425ab5d6c972aab4c	E	0.0048409781334458005	0.009940933992186284	0.017545433956306127	0.007796654325946973	0.006100383128170236
Methanomethylophilaceae_uncl|c795ee00534258677d0fb6e390f08c1d	E	0.007363334271765203	0.002569887073437271	0.0006495313892285425	0.0003429940160454611	0.0011739758464123272
Candidatus_Methanomethylophilus_uncl|7f9f3dfd00171d3cdbbb43e99571f427	E	0.020207428204360656	0.024981870003809144	0.024041249538836462	0.01728629570151504	0.018531066284210074
Methanimicrococcus_unid_methanogen|48e85a9a857b4a2519ae19161151bd77	E	8.073444719963765e-05	0.00036092966464663673	0.0015003841513044865	0.014312428178880588	0.02458385848778411
Methanobrevibacter_wolinii|b43f853c5e314c86eedefe7670431b80	E	0.009896718352465797	0.008656724573645485	0.004535469580495058	0.003123553309204887	0.00023604870742983657
Methanobrevibacter_wolinii|80e76fce75cdd45abb462b692c741f77	E	0.018564007978997273	0.018337464787136187	0.008408039513048946	0.005923163535978996	0.0004162134499747453
Methanomethylophilaceae_uncl|9af52a9758c50a5a0cdfc9eb06d55d6f	FR	0.02019546268035126	0.02970774874118582	0.042317875458146234	0.08651262546051652	0.07894763559915856
Methanobrevibacter_wolinii|b43f853c5e314c86eedefe7670431b80	FR	0.08854988005298775	0.10574346569415319	0.071765593836541	0.037493679032536954	0.0037797377619014604
Methanobrevibacter_uncl|e3d026061d084107a6d9c7abafa067cb	FR	0.021939478818509328	0.013412855069437861	0.010679175614367674	0.009848407578547706	0.02169740689052541
Methanobrevibacter_wolinii|80e76fce75cdd45abb462b692c741f77	FR	0.1713558217883253	0.20444598948948237	0.13823199792964255	0.07285149797542864	0.0072696671427335754
Methanobacteriaceae|a86a104c488483155f1a146cb2454b8f	FR	0.0033980997303848263	0.005909946252787457	0.012583485737824952	0.00958479961392784	0.02301041444040868
Methanobacteriaceae_uncl|442791b78062a54bbb568e4b24fe2e6f	FR	0.0064666737632611574	0.004739545159481018	0.009881577940780236	0.008425020744258008	0.030070934769211778
Methanobacteriaceae|a86a104c488483155f1a146cb2454b8f	SAM	0.0038812194209927727	0.007368223987503456	0.010287441638166204	0.012001801613225461	0.01296294338896142
Methanobacteriaceae_uncl|442791b78062a54bbb568e4b24fe2e6f	SAM	0.006736034472527917	0.007188391002214302	0.007790718110008699	0.013820585715419907	0.016611848937972455
Methanobrevibacter_wolinii|b43f853c5e314c86eedefe7670431b80	SAM	0.06667756657005841	0.06718322376224198	0.03643243621554326	0.02329977265316866	0.000639196099417291
Methanobrevibacter_wolinii|80e76fce75cdd45abb462b692c741f77	SAM	0.12246152247462992	0.1271123936169755	0.07087742576008213	0.04407698627854647	0.002764050736824849
Methanomethylophilaceae|898c387af1af6f5578d717b5d09aa6e2	SAM	0.0070289241971270445	0.01245915119877384	0.013190978231540147	0.009562502759561883	0.012976632169613821
Methanomethylophilaceae_uncl|9af52a9758c50a5a0cdfc9eb06d55d6f	SAM	0.019936469233353772	0.03686947732022474	0.0456201581685668	0.05018556871497304	0.060326083651178974
Methanimicrococcus|8af9eba213f5152a205582125bf8fa4a	SAM	0.017575152161654395	0.01757514617761906	0.023442765020544935	0.04572545855848048	0.0448042522148937
