#SampleID	A1027	A1028	A1029	A1030	A1031	A1032	A1033	A1034	A1035	A1036	A2027	A2028	A2029	A2030	A2031	A2032	A2033	A2034	A2035	A2036
A1027	0.0	0.2058823529411765	0.22857142857142854	0.17647058823529413	0.2352941176470588	0.09375	0.2	0.125	0.2352941176470588	0.25	0.32432432432432434	0.35135135135135137	0.3157894736842105	0.3428571428571429	0.3333333333333333	0.35714285714285715	0.32432432432432434	0.2631578947368421	0.3902439024390244	0.3684210526315789
A1028	0.2058823529411765	0.0	0.15151515151515152	0.09375	0.15625	0.125	0.22857142857142854	0.15625	0.2647058823529412	0.22857142857142854	0.3055555555555556	0.2857142857142857	0.2972972972972973	0.2727272727272727	0.3142857142857143	0.3414634146341464	0.3055555555555556	0.2894736842105263	0.375	0.35135135135135137
A1029	0.22857142857142854	0.15151515151515152	0.0	0.12121212121212123	0.125	0.15151515151515152	0.25	0.18181818181818185	0.2857142857142857	0.2972972972972973	0.41025641025641024	0.3055555555555556	0.3157894736842105	0.3428571428571429	0.3333333333333333	0.3953488372093023	0.3684210526315789	0.3902439024390244	0.3902439024390244	0.41025641025641024
A1030	0.17647058823529413	0.09375	0.12121212121212123	0.0	0.18181818181818185	0.15151515151515152	0.2	0.125	0.2352941176470588	0.2	0.32432432432432434	0.3055555555555556	0.3157894736842105	0.29411764705882354	0.2857142857142857	0.35714285714285715	0.2777777777777778	0.3076923076923077	0.42857142857142855	0.32432432432432434
A1031	0.2352941176470588	0.15625	0.125	0.18181818181818185	0.0	0.15625	0.2058823529411765	0.12903225806451613	0.1875	0.2058823529411765	0.3783783783783784	0.3142857142857143	0.2777777777777778	0.30303030303030304	0.29411764705882354	0.36585365853658536	0.3333333333333333	0.35897435897435903	0.35897435897435903	0.3333333333333333
A1032	0.09375	0.125	0.15151515151515152	0.15151515151515152	0.15625	0.0	0.17647058823529413	0.0967741935483871	0.21212121212121213	0.22857142857142854	0.35135135135135137	0.3333333333333333	0.2972972972972973	0.3235294117647059	0.3142857142857143	0.3414634146341464	0.3055555555555556	0.3333333333333333	0.375	0.35135135135135137
A1033	0.2	0.22857142857142854	0.25	0.2	0.2058823529411765	0.17647058823529413	0.0	0.15151515151515152	0.15151515151515152	0.17142857142857146	0.34210526315789475	0.3684210526315789	0.2894736842105263	0.3142857142857143	0.35135135135135137	0.4090909090909091	0.2972972972972973	0.36585365853658536	0.4047619047619048	0.2972972972972973
A1034	0.125	0.15625	0.18181818181818185	0.125	0.12903225806451613	0.0967741935483871	0.15151515151515152	0.0	0.12903225806451613	0.15151515151515152	0.2857142857142857	0.2647058823529412	0.2777777777777778	0.25	0.24242424242424246	0.325	0.2352941176470588	0.2702702702702703	0.35897435897435903	0.2857142857142857
A1035	0.2352941176470588	0.2647058823529412	0.2857142857142857	0.2352941176470588	0.1875	0.21212121212121213	0.15151515151515152	0.12903225806451613	0.0	0.2058823529411765	0.3333333333333333	0.3611111111111111	0.3684210526315789	0.35294117647058826	0.3428571428571429	0.4047619047619048	0.3333333333333333	0.35897435897435903	0.4	0.2857142857142857
A1036	0.25	0.22857142857142854	0.2972972972972973	0.2	0.2058823529411765	0.22857142857142854	0.17142857142857146	0.15151515151515152	0.2058823529411765	0.0	0.2972972972972973	0.32432432432432434	0.2894736842105263	0.3142857142857143	0.3055555555555556	0.3333333333333333	0.2972972972972973	0.325	0.4047619047619048	0.2972972972972973
A2027	0.32432432432432434	0.3055555555555556	0.41025641025641024	0.32432432432432434	0.3783783783783784	0.35135135135135137	0.34210526315789475	0.2857142857142857	0.3333333333333333	0.2972972972972973	0.0	0.3055555555555556	0.17142857142857146	0.29411764705882354	0.2857142857142857	0.275	0.22857142857142854	0.2631578947368421	0.3902439024390244	0.32432432432432434
A2028	0.35135135135135137	0.2857142857142857	0.3055555555555556	0.3055555555555556	0.3142857142857143	0.3333333333333333	0.3684210526315789	0.2647058823529412	0.3611111111111111	0.32432432432432434	0.3055555555555556	0.0	0.2972972972972973	0.21875	0.21212121212121213	0.3	0.3055555555555556	0.2432432432432433	0.3333333333333333	0.3055555555555556
A2029	0.3157894736842105	0.2972972972972973	0.3157894736842105	0.3157894736842105	0.2777777777777778	0.2972972972972973	0.2894736842105263	0.2777777777777778	0.3684210526315789	0.2894736842105263	0.17142857142857146	0.2972972972972973	0.0	0.2352941176470588	0.22857142857142854	0.225	0.17142857142857146	0.3	0.3	0.2702702702702703
A2030	0.3428571428571429	0.2727272727272727	0.3428571428571429	0.29411764705882354	0.30303030303030304	0.3235294117647059	0.3142857142857143	0.25	0.35294117647058826	0.3142857142857143	0.29411764705882354	0.21875	0.2352941176470588	0.0	0.13333333333333333	0.3333333333333333	0.12903225806451613	0.2777777777777778	0.32432432432432434	0.1875
A2031	0.3333333333333333	0.3142857142857143	0.3333333333333333	0.2857142857142857	0.29411764705882354	0.3142857142857143	0.35135135135135137	0.24242424242424246	0.3428571428571429	0.3055555555555556	0.2857142857142857	0.21212121212121213	0.22857142857142854	0.13333333333333333	0.0	0.2368421052631579	0.125	0.2702702702702703	0.3157894736842105	0.18181818181818185
A2032	0.35714285714285715	0.3414634146341464	0.3953488372093023	0.35714285714285715	0.36585365853658536	0.3414634146341464	0.4090909090909091	0.325	0.4047619047619048	0.3333333333333333	0.275	0.3	0.225	0.3333333333333333	0.2368421052631579	0.0	0.2307692307692308	0.2195121951219512	0.2195121951219512	0.275
A2033	0.32432432432432434	0.3055555555555556	0.3684210526315789	0.2777777777777778	0.3333333333333333	0.3055555555555556	0.2972972972972973	0.2352941176470588	0.3333333333333333	0.2972972972972973	0.22857142857142854	0.3055555555555556	0.17142857142857146	0.12903225806451613	0.125	0.2307692307692308	0.0	0.2631578947368421	0.3076923076923077	0.12121212121212123
A2034	0.2631578947368421	0.2894736842105263	0.3902439024390244	0.3076923076923077	0.35897435897435903	0.3333333333333333	0.36585365853658536	0.2702702702702703	0.35897435897435903	0.325	0.2631578947368421	0.2432432432432433	0.3	0.2777777777777778	0.2702702702702703	0.2195121951219512	0.2631578947368421	0.0	0.25	0.2631578947368421
A2035	0.3902439024390244	0.375	0.3902439024390244	0.42857142857142855	0.35897435897435903	0.375	0.4047619047619048	0.35897435897435903	0.4	0.4047619047619048	0.3902439024390244	0.3333333333333333	0.3	0.32432432432432434	0.3157894736842105	0.2195121951219512	0.3076923076923077	0.25	0.0	0.3076923076923077
A2036	0.3684210526315789	0.35135135135135137	0.41025641025641024	0.32432432432432434	0.3333333333333333	0.35135135135135137	0.2972972972972973	0.2857142857142857	0.2857142857142857	0.2972972972972973	0.32432432432432434	0.3055555555555556	0.2702702702702703	0.1875	0.18181818181818185	0.275	0.12121212121212123	0.2631578947368421	0.3076923076923077	0.0
