featureid	rab.all	rab.win.Trt1	rab.win.Trt3	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Prevotellaceae|896920b38704fd64a368bdcdf9063088	2.82540252816022	3.51221572324183	2.07212584353849	-1.49451281841508	1.37027541353949	-0.999845696775101	0.152046997270756	0.0254245207961972	0.0977845346198406	0.0218652874902875	0.0825534825589458
Pseudoscardovia_u_b|9a4e460241625bd33e1444c1ad8ce57f	4.49673314983036	5.45899638858873	4.04891913402008	-1.50439169402487	1.71453891281043	-0.894785115682423	0.15625020721677	0.0177363308641524	0.0766878158618087	0.0219684829059829	0.0851435928905334
Rikenellaceae_RC9_gut_gr_u_r|81ffeaa319d4a3683d32a739093dab80	2.28943006001304	-5.12022964319634	3.80651174827081	8.84535726131526	4.4082059062405	1.94192059895235	0.000137056276785441	0.000886022323111182	0.00593239154910496	0.000155400155400155	0.00102594165094165
F082_u_r|ea7595bee6c1b82981459b8f86f9c125	5.53536789508465	6.45883383054498	4.77074465661268	-1.7048123151585	0.7130633893021	-2.30797931038755	0.000137056276785441	0.000106211178841735	0.00109003919294531	0.000162684537684538	0.00105207292707293
Atopobium_u_r|e1d34271efe7b6c1bb28d0743ab3afce	1.29479629891114	2.7537322794804	-1.7762931855669	-5.23296123649919	4.46209023572906	-1.20582550069656	0.0175460744574485	0.00562743011800664	0.0308244733699763	0.000376359751359751	0.00209772866022866
F082_u_r|77187fc5bcbdc5af239a6fef481430b2	6.47791782281605	7.4600362464391	5.75235431857151	-1.74457712884109	0.734211374853155	-2.25798493743619	0.000137056276785441	0.000129077535783461	0.00115313344905623	0.000171182983682984	0.00107612295112295
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	1.27672013735897	-5.33151196183427	3.43215422027737	8.98036659092423	2.92871546138307	2.93960368492456	0.000137056276785441	0.000225443837630832	0.00177739133279534	0.000155400155400155	0.00102594165094165
Succiniclasticum|18149f2e17cbffa9665ceaf38b049a50	2.90289600579909	4.09054473247812	2.07281482664089	-1.97015920326993	0.744562340080943	-2.60995507004601	0.00391628806195076	1.11735989778837e-05	0.000273835047218087	0.000194250194250194	0.00119140119140119
Rikenellaceae_RC9_gut_gr|01fe362d9a20df796e9502d11a75a3c8	0.63099678219209	-4.95067957206049	2.77075886471609	7.63282973944313	3.32845313814591	2.27792255026358	0.000137056276785441	0.000484959227208698	0.00345400361531216	0.000155400155400155	0.00102594165094165
